article_id,entity,sentence,label,confidence
0,The Freedom Flotilla Coalition,"The Freedom Flotilla Coalition (FFC), which is campaigning to end Israel’s blockade of Gaza, told CNN activists were aboard its ship carrying humanitarian aid when the alleged attack happened just after midnight local time (6 p.m. ET Thursday).",Humanitarian,0.8698204159736633
0,FFC,"The Freedom Flotilla Coalition (FFC), which is campaigning to end Israel’s blockade of Gaza, told CNN activists were aboard its ship carrying humanitarian aid when the alleged attack happened just after midnight local time (6 p.m. ET Thursday).",Humanitarian,0.8698204159736633
0,The Armed Forces of Malta,The Armed Forces of Malta confirmed there was a fire on a ship that was later extinguished.,Military,0.9668056964874268
0,Malta,"“Volunteers from over 21 countries traveled to Malta to board the mission to Gaza, including prominent figures,” FFC said in a statement.",Humanitarian,0.8738669753074646
0,FFC,"“Volunteers from over 21 countries traveled to Malta to board the mission to Gaza, including prominent figures,” FFC said in a statement.",Humanitarian,0.8738669753074646
0,the Maritime Squadron of the Armed Forces of Malta,"When asked by CNN for comment, the Maritime Squadron of the Armed Forces of Malta said the vessel and the crew are secure, and that the ship remains outside territorial waters and is being monitored by authorities.",Security,0.955386519432068
0,Thunberg,"Speaking to Reuters from Malta, Thunberg said she was part of the group that was supposed to board the boat and “continue the voyage towards Gaza, which is one of many attempts to open up a humanitarian corridor and to do our part to keep trying to break Israel’s illegal siege on Gaza,” adding that “for two months now, not a single bottle of water has entered Gaza, and it’s a systematic starvation of 2 million people.”",Humanitarian,0.8640250563621521
0,Gaza,"Speaking to Reuters from Malta, Thunberg said she was part of the group that was supposed to board the boat and “continue the voyage towards Gaza, which is one of many attempts to open up a humanitarian corridor and to do our part to keep trying to break Israel’s illegal siege on Gaza,” adding that “for two months now, not a single bottle of water has entered Gaza, and it’s a systematic starvation of 2 million people.”",Humanitarian,0.8640250563621521
0,Gaza,"Speaking to Reuters from Malta, Thunberg said she was part of the group that was supposed to board the boat and “continue the voyage towards Gaza, which is one of many attempts to open up a humanitarian corridor and to do our part to keep trying to break Israel’s illegal siege on Gaza,” adding that “for two months now, not a single bottle of water has entered Gaza, and it’s a systematic starvation of 2 million people.”",Humanitarian,0.8640250563621521
0,Gaza,"Speaking to Reuters from Malta, Thunberg said she was part of the group that was supposed to board the boat and “continue the voyage towards Gaza, which is one of many attempts to open up a humanitarian corridor and to do our part to keep trying to break Israel’s illegal siege on Gaza,” adding that “for two months now, not a single bottle of water has entered Gaza, and it’s a systematic starvation of 2 million people.”",Humanitarian,0.8640250563621521
